ramadeactividadeconómica,ámbitopoblacional,gruposdeedad,total
Extracción de petróleo y gas natural. Refino de petróleo,Zona Rural,De 60 a 64 años,100
Extracción de petróleo y gas natural. Refino de petróleo,Zona Rural,De 65 a 69 años,15
Extracción de petróleo y gas natural. Refino de petróleo,Zona Rural,De 70 a 74 años,7
Extracción de petróleo y gas natural. Refino de petróleo,Zona Rural,De 75 y más años,41
Extracción de petróleo y gas natural. Refino de petróleo,Zona Intermedia,Total,3423
Extracción de petróleo y gas natural. Refino de petróleo,Zona Intermedia,De 16 a 19 años,96
Extracción de petróleo y gas natural. Refino de petróleo,Zona Intermedia,De 20 a 24 años,239
Extracción de petróleo y gas natural. Refino de petróleo,Zona Intermedia,De 25 a 29 años,407
Extracción de petróleo y gas natural. Refino de petróleo,Zona Intermedia,De 30 a 34 años,537
Extracción de petróleo y gas natural. Refino de petróleo,Zona Intermedia,De 35 a 39 años,469
Extracción de petróleo y gas natural. Refino de petróleo,Zona Intermedia,De 40 a 44 años,366
Extracción de petróleo y gas natural. Refino de petróleo,Zona Intermedia,De 45 a 49 años,472
Extracción de petróleo y gas natural. Refino de petróleo,Zona Intermedia,De 50 a 54 años,419
Extracción de petróleo y gas natural. Refino de petróleo,Zona Intermedia,De 55 a 59 años,302
Extracción de petróleo y gas natural. Refino de petróleo,Zona Intermedia,De 60 a 64 años,85
Extracción de petróleo y gas natural. Refino de petróleo,Zona Intermedia,De 65 a 69 años,20
Extracción de petróleo y gas natural. Refino de petróleo,Zona Intermedia,De 70 a 74 años,5
Extracción de petróleo y gas natural. Refino de petróleo,Zona Intermedia,De 75 y más años,6
Extracción de petróleo y gas natural. Refino de petróleo,Zona Urbana,Total,17937
Extracción de petróleo y gas natural. Refino de petróleo,Zona Urbana,De 16 a 19 años,243
Extracción de petróleo y gas natural. Refino de petróleo,Zona Urbana,De 20 a 24 años,1104
Extracción de petróleo y gas natural. Refino de petróleo,Zona Urbana,De 25 a 29 años,1983
Extracción de petróleo y gas natural. Refino de petróleo,Zona Urbana,De 30 a 34 años,2688
Extracción de petróleo y gas natural. Refino de petróleo,Zona Urbana,De 35 a 39 años,2587
Extracción de petróleo y gas natural. Refino de petróleo,Zona Urbana,De 40 a 44 años,2212
Extracción de petróleo y gas natural. Refino de petróleo,Zona Urbana,De 45 a 49 años,2542
Extracción de petróleo y gas natural. Refino de petróleo,Zona Urbana,De 50 a 54 años,2115
Extracción de petróleo y gas natural. Refino de petróleo,Zona Urbana,De 55 a 59 años,1664
Extracción de petróleo y gas natural. Refino de petróleo,Zona Urbana,De 60 a 64 años,590
Extracción de petróleo y gas natural. Refino de petróleo,Zona Urbana,De 65 a 69 años,157
Extracción de petróleo y gas natural. Refino de petróleo,Zona Urbana,De 70 a 74 años,15
Extracción de petróleo y gas natural. Refino de petróleo,Zona Urbana,De 75 y más años,38
Extracción y transformación de minrales radioactivos,Total nacional (Ambos sexos),Total,1407
Extracción y transformación de minrales radioactivos,Total nacional (Ambos sexos),De 16 a 19 años,34
Extracción y transformación de minrales radioactivos,Total nacional (Ambos sexos),De 20 a 24 años,122
Extracción y transformación de minrales radioactivos,Total nacional (Ambos sexos),De 25 a 29 años,157
Extracción y transformación de minrales radioactivos,Total nacional (Ambos sexos),De 30 a 34 años,270
Extracción y transformación de minrales radioactivos,Total nacional (Ambos sexos),De 35 a 39 años,123
Extracción y transformación de minrales radioactivos,Total nacional (Ambos sexos),De 40 a 44 años,130
Extracción y transformación de minrales radioactivos,Total nacional (Ambos sexos),De 45 a 49 años,168
Extracción y transformación de minrales radioactivos,Total nacional (Ambos sexos),De 50 a 54 años,168
Extracción y transformación de minrales radioactivos,Total nacional (Ambos sexos),De 55 a 59 años,116
Extracción y transformación de minrales radioactivos,Total nacional (Ambos sexos),De 60 a 64 años,74
Extracción y transformación de minrales radioactivos,Total nacional (Ambos sexos),De 65 a 69 años,18
Extracción y transformación de minrales radioactivos,Total nacional (Ambos sexos),De 70 a 74 años,11
Extracción y transformación de minrales radioactivos,Total nacional (Ambos sexos),De 75 y más años,16
Extracción y transformación de minrales radioactivos,Total nacional (Varones),Total,1066
Extracción y transformación de minrales radioactivos,Total nacional (Varones),De 16 a 19 años,18
Extracción y transformación de minrales radioactivos,Total nacional (Varones),De 20 a 24 años,81
Extracción y transformación de minrales radioactivos,Total nacional (Varones),De 25 a 29 años,99
Extracción y transformación de minrales radioactivos,Total nacional (Varones),De 30 a 34 años,213
Extracción y transformación de minrales radioactivos,Total nacional (Varones),De 35 a 39 años,102
Extracción y transformación de minrales radioactivos,Total nacional (Varones),De 40 a 44 años,99
Extracción y transformación de minrales radioactivos,Total nacional (Varones),De 45 a 49 años,146
Extracción y transformación de minrales radioactivos,Total nacional (Varones),De 50 a 54 años,131
Extracción y transformación de minrales radioactivos,Total nacional (Varones),De 55 a 59 años,100
Extracción y transformación de minrales radioactivos,Total nacional (Varones),De 60 a 64 años,63
Extracción y transformación de minrales radioactivos,Total nacional (Varones),De 65 a 69 años,9
Extracción y transformación de minrales radioactivos,Total nacional (Varones),De 70 a 74 años,5
Extracción y transformación de minrales radioactivos,Total nacional (Varones),De 75 y más años,
Extracción y transformación de minrales radioactivos,Total nacional (Mujeres),Total,340
Extracción y transformación de minrales radioactivos,Total nacional (Mujeres),De 16 a 19 años,16
Extracción y transformación de minrales radioactivos,Total nacional (Mujeres),De 20 a 24 años,42
Extracción y transformación de minrales radioactivos,Total nacional (Mujeres),De 25 a 29 años,59
Extracción y transformación de minrales radioactivos,Total nacional (Mujeres),De 30 a 34 años,57
Extracción y transformación de minrales radioactivos,Total nacional (Mujeres),De 35 a 39 años,21
Extracción y transformación de minrales radioactivos,Total nacional (Mujeres),De 40 a 44 años,31
Extracción y transformación de minrales radioactivos,Total nacional (Mujeres),De 45 a 49 años,22
Extracción y transformación de minrales radioactivos,Total nacional (Mujeres),De 50 a 54 años,37
Extracción y transformación de minrales radioactivos,Total nacional (Mujeres),De 55 a 59 años,16
Extracción y transformación de minrales radioactivos,Total nacional (Mujeres),De 60 a 64 años,11
Extracción y transformación de minrales radioactivos,Total nacional (Mujeres),De 65 a 69 años,9
Extracción y transformación de minrales radioactivos,Total nacional (Mujeres),De 70 a 74 años,5
Extracción y transformación de minrales radioactivos,Total nacional (Mujeres),De 75 y más años,16
Extracción y transformación de minrales radioactivos,Zona Rural,Total,191
Extracción y transformación de minrales radioactivos,Zona Rural,De 16 a 19 años,7
Extracción y transformación de minrales radioactivos,Zona Rural,De 20 a 24 años,17
Extracción y transformación de minrales radioactivos,Zona Rural,De 25 a 29 años,44
Extracción y transformación de minrales radioactivos,Zona Rural,De 30 a 34 años,17
Extracción y transformación de minrales radioactivos,Zona Rural,De 35 a 39 años,23
Extracción y transformación de minrales radioactivos,Zona Rural,De 40 a 44 años,12
Extracción y transformación de minrales radioactivos,Zona Rural,De 45 a 49 años,14
Extracción y transformación de minrales radioactivos,Zona Rural,De 50 a 54 años,20
Extracción y transformación de minrales radioactivos,Zona Rural,De 55 a 59 años,21
Extracción y transformación de minrales radioactivos,Zona Rural,De 60 a 64 años,4
Extracción y transformación de minrales radioactivos,Zona Rural,De 65 a 69 años,
Extracción y transformación de minrales radioactivos,Zona Rural,De 70 a 74 años,5
Extracción y transformación de minrales radioactivos,Zona Rural,De 75 y más años,6
Extracción y transformación de minrales radioactivos,Zona Intermedia,Total,120
Extracción y transformación de minrales radioactivos,Zona Intermedia,De 16 a 19 años,2
Extracción y transformación de minrales radioactivos,Zona Intermedia,De 20 a 24 años,11
Extracción y transformación de minrales radioactivos,Zona Intermedia,De 25 a 29 años,11
Extracción y transformación de minrales radioactivos,Zona Intermedia,De 30 a 34 años,23
Extracción y transformación de minrales radioactivos,Zona Intermedia,De 35 a 39 años,1
Extracción y transformación de minrales radioactivos,Zona Intermedia,De 40 a 44 años,22
Extracción y transformación de minrales radioactivos,Zona Intermedia,De 45 a 49 años,16
Extracción y transformación de minrales radioactivos,Zona Intermedia,De 50 a 54 años,1
Extracción y transformación de minrales radioactivos,Zona Intermedia,De 55 a 59 años,11
Extracción y transformación de minrales radioactivos,Zona Intermedia,De 60 a 64 años,21
Extracción y transformación de minrales radioactivos,Zona Intermedia,De 65 a 69 años,
Extracción y transformación de minrales radioactivos,Zona Intermedia,De 70 a 74 años,
Extracción y transformación de minrales radioactivos,Zona Intermedia,De 75 y más años,
Extracción y transformación de minrales radioactivos,Zona Urbana,Total,1097
Extracción y transformación de minrales radioactivos,Zona Urbana,De 16 a 19 años,26
Extracción y transformación de minrales radioactivos,Zona Urbana,De 20 a 24 años,95
Extracción y transformación de minrales radioactivos,Zona Urbana,De 25 a 29 años,102
Extracción y transformación de minrales radioactivos,Zona Urbana,De 30 a 34 años,230
Extracción y transformación de minrales radioactivos,Zona Urbana,De 35 a 39 años,98
Extracción y transformación de minrales radioactivos,Zona Urbana,De 40 a 44 años,96
Extracción y transformación de minrales radioactivos,Zona Urbana,De 45 a 49 años,138
Extracción y transformación de minrales radioactivos,Zona Urbana,De 50 a 54 años,147
Extracción y transformación de minrales radioactivos,Zona Urbana,De 55 a 59 años,83
Extracción y transformación de minrales radioactivos,Zona Urbana,De 60 a 64 años,49
Extracción y transformación de minrales radioactivos,Zona Urbana,De 65 a 69 años,18
Extracción y transformación de minrales radioactivos,Zona Urbana,De 70 a 74 años,5
Extracción y transformación de minrales radioactivos,Zona Urbana,De 75 y más años,10
"Electricidad, gas y agua",Total nacional (Ambos sexos),Total,91401
"Electricidad, gas y agua",Total nacional (Ambos sexos),De 16 a 19 años,1439
"Electricidad, gas y agua",Total nacional (Ambos sexos),De 20 a 24 años,5940
"Electricidad, gas y agua",Total nacional (Ambos sexos),De 25 a 29 años,10655
"Electricidad, gas y agua",Total nacional (Ambos sexos),De 30 a 34 años,12463
"Electricidad, gas y agua",Total nacional (Ambos sexos),De 35 a 39 años,11418
"Electricidad, gas y agua",Total nacional (Ambos sexos),De 40 a 44 años,10015
"Electricidad, gas y agua",Total nacional (Ambos sexos),De 45 a 49 años,12274
"Electricidad, gas y agua",Total nacional (Ambos sexos),De 50 a 54 años,11623
"Electricidad, gas y agua",Total nacional (Ambos sexos),De 55 a 59 años,10100
"Electricidad, gas y agua",Total nacional (Ambos sexos),De 60 a 64 años,4725
"Electricidad, gas y agua",Total nacional (Ambos sexos),De 65 a 69 años,477
"Electricidad, gas y agua",Total nacional (Ambos sexos),De 70 a 74 años,124
"Electricidad, gas y agua",Total nacional (Ambos sexos),De 75 y más años,150
"Electricidad, gas y agua",Total nacional (Varones),Total,84482
"Electricidad, gas y agua",Total nacional (Varones),De 16 a 19 años,1110
"Electricidad, gas y agua",Total nacional (Varones),De 20 a 24 años,4734
"Electricidad, gas y agua",Total nacional (Varones),De 25 a 29 años,9354
"Electricidad, gas y agua",Total nacional (Varones),De 30 a 34 años,11457
"Electricidad, gas y agua",Total nacional (Varones),De 35 a 39 años,10830
"Electricidad, gas y agua",Total nacional (Varones),De 40 a 44 años,9514
"Electricidad, gas y agua",Total nacional (Varones),De 45 a 49 años,11773
"Electricidad, gas y agua",Total nacional (Varones),De 50 a 54 años,11039
"Electricidad, gas y agua",Total nacional (Varones),De 55 a 59 años,9583
"Electricidad, gas y agua",Total nacional (Varones),De 60 a 64 años,4439
"Electricidad, gas y agua",Total nacional (Varones),De 65 a 69 años,444
"Electricidad, gas y agua",Total nacional (Varones),De 70 a 74 años,99
"Electricidad, gas y agua",Total nacional (Varones),De 75 y más años,105
"Electricidad, gas y agua",Total nacional (Mujeres),Total,6919
"Electricidad, gas y agua",Total nacional (Mujeres),De 16 a 19 años,328
"Electricidad, gas y agua",Total nacional (Mujeres),De 20 a 24 años,1206
"Electricidad, gas y agua",Total nacional (Mujeres),De 25 a 29 años,1301
"Electricidad, gas y agua",Total nacional (Mujeres),De 30 a 34 años,1006
"Electricidad, gas y agua",Total nacional (Mujeres),De 35 a 39 años,587
"Electricidad, gas y agua",Total nacional (Mujeres),De 40 a 44 años,501
"Electricidad, gas y agua",Total nacional (Mujeres),De 45 a 49 años,501
"Electricidad, gas y agua",Total nacional (Mujeres),De 50 a 54 años,583
"Electricidad, gas y agua",Total nacional (Mujeres),De 55 a 59 años,517
"Electricidad, gas y agua",Total nacional (Mujeres),De 60 a 64 años,286
"Electricidad, gas y agua",Total nacional (Mujeres),De 65 a 69 años,33
"Electricidad, gas y agua",Total nacional (Mujeres),De 70 a 74 años,25
"Electricidad, gas y agua",Total nacional (Mujeres),De 75 y más años,45
"Electricidad, gas y agua",Zona Rural,Total,17258
"Electricidad, gas y agua",Zona Rural,De 16 a 19 años,406
"Electricidad, gas y agua",Zona Rural,De 20 a 24 años,1355
"Electricidad, gas y agua",Zona Rural,De 25 a 29 años,2033
"Electricidad, gas y agua",Zona Rural,De 30 a 34 años,2031
"Electricidad, gas y agua",Zona Rural,De 35 a 39 años,1937
"Electricidad, gas y agua",Zona Rural,De 40 a 44 años,1629
"Electricidad, gas y agua",Zona Rural,De 45 a 49 años,2346
"Electricidad, gas y agua",Zona Rural,De 50 a 54 años,2383
"Electricidad, gas y agua",Zona Rural,De 55 a 59 años,2084
"Electricidad, gas y agua",Zona Rural,De 60 a 64 años,883
"Electricidad, gas y agua",Zona Rural,De 65 a 69 años,126
"Electricidad, gas y agua",Zona Rural,De 70 a 74 años,24
"Electricidad, gas y agua",Zona Rural,De 75 y más años,21
"Electricidad, gas y agua",Zona Intermedia,Total,14339
"Electricidad, gas y agua",Zona Intermedia,De 16 a 19 años,349
"Electricidad, gas y agua",Zona Intermedia,De 20 a 24 años,1023
"Electricidad, gas y agua",Zona Intermedia,De 25 a 29 años,1856
"Electricidad, gas y agua",Zona Intermedia,De 30 a 34 años,2037
"Electricidad, gas y agua",Zona Intermedia,De 35 a 39 años,1824
"Electricidad, gas y agua",Zona Intermedia,De 40 a 44 años,1613
"Electricidad, gas y agua",Zona Intermedia,De 45 a 49 años,1791
"Electricidad, gas y agua",Zona Intermedia,De 50 a 54 años,1764
"Electricidad, gas y agua",Zona Intermedia,De 55 a 59 años,1391
"Electricidad, gas y agua",Zona Intermedia,De 60 a 64 años,601
"Electricidad, gas y agua",Zona Intermedia,De 65 a 69 años,47
"Electricidad, gas y agua",Zona Intermedia,De 70 a 74 años,27
"Electricidad, gas y agua",Zona Intermedia,De 75 y más años,16
"Electricidad, gas y agua",Zona Urbana,Total,59804
"Electricidad, gas y agua",Zona Urbana,De 16 a 19 años,684
"Electricidad, gas y agua",Zona Urbana,De 20 a 24 años,3562
"Electricidad, gas y agua",Zona Urbana,De 25 a 29 años,6766
"Electricidad, gas y agua",Zona Urbana,De 30 a 34 años,8395
"Electricidad, gas y agua",Zona Urbana,De 35 a 39 años,7657
"Electricidad, gas y agua",Zona Urbana,De 40 a 44 años,6772
"Electricidad, gas y agua",Zona Urbana,De 45 a 49 años,8137
"Electricidad, gas y agua",Zona Urbana,De 50 a 54 años,7475
